date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-09-30,102.7000,135.0200,98.9400,129.6000,3.2233,212494700,0.0000
2004-10-29,130.8000,199.9500,128.9000,190.6400,4.7414,513620700,0.0000
2004-11-30,193.5000,201.6000,161.3100,181.9800,4.5260,554632100,0.0000
2004-12-31,181.7700,199.8800,168.4700,192.7900,4.7948,290392600,0.0000
2005-01-31,197.4000,205.3000,176.2900,195.6200,4.8652,409918400,0.0000
2005-02-28,194.3800,216.8000,181.0000,187.9900,4.6755,650567500,0.0000
2005-03-31,189.2900,189.8500,172.5700,180.5100,4.4894,343553000,0.0000
2005-04-29,181.7600,224.7400,179.8400,220.0000,5.4716,452927500,0.0000
2005-05-31,222.0500,278.4000,220.2100,277.2700,6.8959,507029100,0.0000
2005-06-30,283.2000,309.2500,267.4300,294.1500,7.3157,777224400,0.0000
2005-07-29,295.0400,317.8000,286.9900,287.7600,7.1568,409487200,0.0000
2005-08-31,288.4800,299.7200,273.3500,286.0000,7.1130,285656800,0.0000
2005-09-30,285.9100,320.9500,285.0000,316.4600,7.8706,339965100,0.0000
2005-10-31,313.6300,374.7500,290.6850,372.1400,9.2554,385538000,0.0000
2005-11-30,371.8600,431.2400,369.0100,404.9125,10.0705,422908000,0.0000
2005-12-30,409.2000,446.2100,399.0100,414.8600,10.3179,397165000,0.0000
2006-01-31,422.5200,475.1100,394.7400,432.6601,10.7606,597481100,0.0000
2006-02-28,389.8600,406.5000,337.8300,362.6200,9.0186,594453900,0.0000
2006-03-31,369.0000,399.0000,331.5500,390.0000,9.6996,612913300,0.0000
2006-04-28,389.7500,450.7200,387.9300,417.9400,10.3945,370257300,0.0000
2006-05-31,417.8500,419.4400,360.5700,371.8200,9.2475,351526700,0.0000
2006-06-30,373.5400,419.3300,371.6000,419.3300,10.4291,284475000,0.0000
2006-07-31,420.0400,427.8900,377.6900,386.6000,9.6150,254787800,0.0000
2006-08-31,385.1100,390.0000,363.3600,378.5300,9.4143,213728900,0.0000
2006-09-29,380.9950,418.6900,376.7200,401.9000,9.9956,242858900,0.0000
2006-10-31,401.9000,491.9600,398.1900,476.3900,11.8482,316709800,0.0000
2006-11-30,478.7550,513.0000,465.0615,484.8100,12.0576,236642800,0.0000
2006-12-29,485.9800,492.4000,452.3405,460.4800,11.4525,183144000,0.0000
2007-01-31,466.0000,513.0000,461.1100,501.5000,12.4727,248923900,0.0000
2007-02-28,506.0000,506.0100,443.0400,449.4500,11.1782,227599400,0.0000
2007-03-30,442.6700,466.0000,437.0000,458.1600,11.3948,235995600,0.0000
2007-04-30,457.7600,492.5000,452.1200,471.3800,11.7236,185730000,0.0000
2007-05-31,472.1900,508.7800,457.4100,497.9090,12.3834,198963200,0.0000
2007-06-29,501.0000,534.9900,497.5900,522.7001,13.0000,257837700,0.0000
2007-07-31,525.4900,558.5800,498.8800,510.0000,12.6841,233027400,0.0000
2007-08-31,510.5000,526.8200,480.4600,515.2500,12.8147,177222800,0.0000
2007-09-28,515.0200,571.7899,510.8800,567.2700,14.1084,138687900,0.0000
2007-10-31,569.9700,707.0000,569.6100,707.0000,17.5836,310590000,0.0000
2007-11-30,702.7900,747.2400,616.0200,693.0000,17.2354,342606600,0.0000
2007-12-31,691.0100,724.8000,652.5000,691.4800,17.1976,170456500,0.0000
2008-01-31,692.8700,697.3700,519.0000,564.3000,14.0346,315262000,0.0000
2008-02-29,528.6700,541.0400,446.8500,471.1800,11.7186,354015500,0.0000
2008-03-31,471.5100,472.7200,412.1100,440.4700,10.9548,290938800,0.0000
2008-04-30,447.7400,584.8600,441.0000,574.2900,14.2830,285802500,0.0000
2008-05-30,578.3100,602.4500,537.8100,585.8000,14.5693,209055200,0.0000
2008-06-30,582.5000,588.0400,515.0900,526.4200,13.0925,187380600,0.0000
2008-07-31,520.0000,555.6800,465.6005,473.7500,11.7825,207962700,0.0000
2008-08-29,472.0600,510.6600,461.9000,463.2900,11.5224,137490300,0.0000
2008-09-30,476.7700,482.1800,380.7100,400.5200,9.9612,267887800,0.0000
2008-10-31,411.1500,416.9800,309.4400,359.3600,8.9376,398191400,0.0000
2008-11-28,357.5800,372.3600,247.3000,292.9600,7.2861,315749100,0.0000
2008-12-31,286.6800,329.5000,262.5801,307.6500,7.6515,225787700,0.0000
2009-01-30,308.5995,352.3300,282.7500,338.5300,8.4195,219542700,0.0000
2009-02-27,334.2700,381.0000,329.5500,337.9900,8.4061,222946400,0.0000
2009-03-31,333.3300,359.1600,289.4500,348.0600,8.6565,227721500,0.0000
2009-04-30,343.7800,403.7500,340.6100,395.9700,9.8481,175489100,0.0000
2009-05-29,395.0300,417.2329,384.6900,417.2300,10.3768,113955500,0.0000
2009-06-30,418.7300,447.3400,401.8901,421.5900,10.4853,140780100,0.0000
2009-07-31,424.2000,452.7000,395.9801,443.0500,11.0190,145887200,0.0000
2009-08-31,448.7400,474.3500,438.5605,461.6700,11.4821,97378800,0.0000
2009-09-30,459.6800,507.0000,452.5900,495.8500,12.3322,102056300,0.0000
2009-10-30,493.0000,561.6400,482.6000,536.1200,13.3337,154193500,0.0000
2009-11-30,537.0800,587.0599,528.2410,583.0000,14.4997,81729700,0.0000
2009-12-31,588.1300,625.9900,579.1800,619.9800,15.4194,85154200,0.0000
2010-01-29,626.9500,629.5100,525.6100,529.9440,13.1801,178021600,0.0000
2010-02-26,534.6020,547.5000,520.0000,526.8000,13.1019,103963600,0.0000
2010-03-31,529.2000,588.2750,527.7400,567.1200,14.1047,167380600,0.0000
2010-04-30,571.3500,597.8400,521.0300,525.6950,13.0744,145974700,0.0000
2010-05-28,526.5000,532.9200,460.0000,485.6300,12.0780,162958300,0.0000
2010-06-30,480.4300,509.2500,444.7200,444.9500,11.0663,119605600,0.0000
2010-07-30,445.2900,497.5000,433.6300,484.8500,12.0586,138480300,0.0000
2010-08-31,488.9900,508.6000,447.6500,450.0200,11.1923,105603500,0.0000
2010-09-30,454.9800,536.8490,452.5000,525.7900,13.0768,119281400,0.0000
2010-10-29,530.0000,624.7400,518.8501,613.7000,15.2632,158536000,0.0000
2010-11-30,615.7300,630.8500,553.3100,555.7100,13.8209,116766000,0.0000
2010-12-31,563.0000,607.0000,562.4000,593.9700,14.7725,84484800,0.0000
2011-01-31,596.4800,642.9600,595.5500,600.3600,14.9314,119847800,0.0000
2011-02-28,604.4900,631.1800,601.3500,613.4000,15.2557,83653600,0.0000
2011-03-31,617.7800,619.2200,551.2801,586.7600,14.5932,120156600,0.0000
2011-04-29,588.7600,595.1900,519.0000,544.1000,13.5322,140342000,0.0000
2011-05-31,545.7000,545.7300,513.4000,529.0200,13.1571,90564200,0.0000
2011-06-30,528.0400,533.1999,473.0200,506.3800,12.5941,118130800,0.0000
2011-07-29,506.7400,627.4992,506.3800,603.6900,15.0142,161948200,0.0000
2011-08-31,611.2200,615.5000,490.8600,540.9600,13.4541,213336700,0.0000
2011-09-30,540.7500,558.5200,510.5000,515.0400,12.8094,117140800,0.0000
2011-10-31,509.8500,602.7000,480.5960,592.6400,14.7394,154275400,0.0000
2011-11-30,580.1000,618.3000,561.3300,599.3900,14.9073,120479300,0.0000
2011-12-30,600.0000,646.7600,599.0000,645.9000,16.0640,109983800,0.0000
2012-01-31,652.9400,670.2500,564.5500,580.1100,14.4278,147136900,0.0000
2012-02-29,584.9400,625.6000,579.1400,618.2500,15.3764,94633500,0.0000
2012-03-30,622.2600,658.5890,593.8400,641.2400,15.9481,94564700,0.0000
2012-04-30,640.7700,653.1400,590.2000,604.8500,15.0431,117636800,0.0000
2012-05-31,603.7900,637.8500,579.0000,580.8600,14.4464,117228000,0.0000
2012-06-29,571.7900,587.8900,556.5201,580.0700,14.4268,92914500,0.0000
2012-07-31,581.8200,642.6000,562.0900,632.9700,15.7425,102469600,0.0000
2012-08-31,637.3000,688.9900,623.4100,685.0900,17.0387,94031300,0.0000
2012-09-28,684.5500,764.8900,673.5000,754.5000,18.7650,120233800,0.0000
2012-10-31,759.0500,774.3800,669.7000,680.2976,16.9195,143452800,0.0000
2012-11-30,679.5000,699.2200,636.0000,698.3700,17.3690,93264000,0.0000
2012-12-31,702.2400,738.2800,682.3301,707.3800,17.5931,83306700,0.0000
2013-01-31,719.4200,760.9500,695.5200,755.6900,18.7946,104704600,0.0000
2013-02-28,758.2000,808.9700,758.1000,801.2000,19.9265,92587100,0.0000
2013-03-28,797.8000,844.0000,793.3000,794.1880,19.7521,85011800,0.0000
2013-04-30,795.0100,827.6400,761.2601,824.5700,20.5077,106996300,0.0000
